latitude,longitude,altitude,geometry,street,neighbourhood,currentResult,votesTotal,osmnodeid,marker-color,comment
49.630239,6.117808,,Point,Rue Jean-Pierre Huberty,Muhlenbach,2,6,node/1400613545,#FF0000,
49.630322,6.1183,,Point,Rue des Sept-Arpents,Muhlenbach,2,6,node/1400613547,#FF0000,
49.630357,6.118488,,Point,Rue Émile Metz,Eich,2,6,node/1400613548,#FF0000,
49.601179,6.127553,,Point,Rue Adolphe Fischer,Gare,2,6,node/1401567237,#FF0000,
49.60136,6.12744,,Point,Rue Adolphe Fischer,Gare,2,7,node/1401567246,#FF0000,
49.601483,6.128286,,Point,Rue Glesener,Gare,0,7,node/1401567250,#FFD700,
49.601666,6.125954,,Point,Rue des États-Unis,Gare,2,7,node/1401567257,#FF0000,
49.601805,6.126032,,Point,Rue d'Anvers,Gare,2,7,node/1401567268,#FF0000,
49.601828,6.125859,,Point,Boulevard de la Pétrusse,Gare,2,7,node/1401567269,#FF0000,
49.601913,6.125245,,Point,Rue d'Anvers,Gare,2,7,node/1401567273,#FF0000,
49.601935,6.129863,,Point,Rue Glesener,Gare,12,6,node/1401567275,#FF0000,
49.602085,6.126993,,Point,Rue Adolphe Fischer,Gare,2,7,node/1401567279,#FF0000,
49.602129,6.126817,,Point,Rue d'Anvers,Gare,2,6,node/1401567289,#FF0000,
49.60221,6.127016,,Point,Rue d'Anvers,Gare,2,6,node/1401567291,#FF0000,
49.602249,6.126854,,Point,Rue Adolphe Fischer,Gare,0,6,node/1401567296,#FFD700,
49.602272,6.123881,,Point,Rue de la Vallée,Hollerich,2,6,node/1401567299,#FF0000,
49.603423,6.121449,,Point,Rue de la Semois,Hollerich,0,6,node/1401567311,#FFD700,
49.604933,6.118766,,Point,Rue de Nassau,Hollerich,2,6,node/1401567325,#FF0000,
49.605216,6.121938,,Point,Rue de la Semois,Hollerich,2,6,node/1401567338,#FF0000,
49.614187,6.162701,,Point,Rue des Pommiers,Cents,2,6,node/1401588406,#FF0000,
49.607623,6.142109,,Point,Rue des Genêts,Verlorenkost,2,6,node/1401923690,#FF0000,
49.613852,6.173489,,Point,Rue de Bitbourg,Hamm,2,6,node/1402297204,#FF0000,
49.605815,6.102343,,Point,Route de Longwy,Merl,2,6,node/1402714412,#FF0000,
49.605848,6.102684,,Point,Route de Longwy,Merl,2,6,node/1402714416,#FF0000,
49.612116,6.126774,,Point,,Ville-Haute,0,6,node/1402714417,#FFD700,
49.612308,6.12675,,Point,,Ville-Haute,0,6,node/1402714429,#FFD700,
49.614232,6.129113,,Point,Boulevard Royal,Ville-Haute,2,6,node/1407328931,#FF0000,
49.614294,6.128944,,Point,Avenue Jean-Pierre Pescatore,Ville-Haute,2,6,node/1407328934,#FF0000,
49.614576,6.127485,,Point,Boulevard Prince Henri,Ville-Haute,2,6,node/1407328951,#FF0000,
49.608513,6.09789,,Point,Rue Auguste Liesch,Belair,2,6,node/1419478048,#FF0000,
49.619909,6.123029,,Point,Avenue Victor Hugo,Limpertsberg,12,6,node/1419609195,#FF0000,
49.619975,6.122876,,Point,Rue Henri VII,Limpertsberg,0,6,node/1419609197,#FFD700,
49.62169,6.120804,,Point,Avenue Victor Hugo,Limpertsberg,2,6,node/1419609234,#FF0000,
49.621838,6.120673,,Point,Avenue Victor Hugo,Limpertsberg,2,6,node/1419609237,#FF0000,
49.621885,6.120781,,Point,Avenue Victor Hugo,Limpertsberg,2,6,node/1419609238,#FF0000,
49.623568,6.119281,,Point,Avenue Victor Hugo,Limpertsberg,12,6,node/1419609244,#FF0000,
49.623764,6.119418,,Point,Square Édouard André,Limpertsberg,2,6,node/1419609259,#FF0000,
49.609723,6.098766,,Point,Rue Gustave Kahnt,Belair,2,6,node/1422461847,#FF0000,
49.595164,6.120996,,Point,Rue de la Déportation,Gasperich,0,6,node/1428388891,#FFD700,
49.600747,6.091985,,Point,Rue des Celtes,Merl,2,6,node/1432996660,#FF0000,
49.589654,6.12882,,Point,Rue Christoph Willibald Gluck,Gasperich,2,6,node/1437761729,#FF0000,
49.590107,6.127503,,Point,Rue Herbert Schaefer,Gasperich,2,6,node/1437761734,#FF0000,
49.592663,6.120841,,Point,Rue Gioacchino Rossini,Gasperich,12,6,node/1437761778,#FF0000,
49.593372,6.129107,,Point,Mühlenweg,Gasperich,2,6,node/1437761806,#FF0000,
49.593512,6.129105,,Point,Rue de la Déportation,Gasperich,2,6,node/1437761815,#FF0000,
49.594284,6.12549,,Point,Rue de la Déportation,Gasperich,2,6,node/1437761841,#FF0000,
49.58663,6.108612,,Point,Kohlenberg,Cessange,2,6,node/1445072627,#FF0000,
49.5873,6.103584,,Point,Rue de Cessange,Cessange,2,6,node/1445072689,#FF0000,
49.591092,6.105817,,Point,Rue de Cessange,Cessange,2,6,node/1445072819,#FF0000,
49.592854,6.117095,,Point,Rue Henri Pensis,Gasperich,2,6,node/1445687456,#FF0000,
49.616605,6.165315,,Point,Rue de Trèves,Cents,2,6,node/1447451437,#FF0000,
49.618431,6.165136,,Point,Rue Robert Bruch,Cents,2,6,node/1447451601,#FF0000,
